COMPANY NAME,PHONE,MAIN CONTACT NAME,ADDRESS,CITY,STATE,ZIP CODE,CUSTOMER TYPE,CREDIT LIMIT,DEFAULT PAYMENT TERMS,CREDIT HOLD,ACCOUNT HOLD,CURRENCY
"11618 GLENDALE RISE LN RICHMOND, TX 77407",,,11618 Glendale Rise Lane,Richmond,TX,77407,shipper," "," ",,NO," "
3PL Warehouse,,,11505 HWY 225,La Porte,TX,77571,"consignee,shipper,containerReturn"," ",30,,NO," "
7 Star Brokerage,,,2422 Jolly Road,Okemos,MI,48864,"caller,consignee,chassisTermination,chassisPick,shipper,containerReturn"," "," ",NO,NO," "
AAA Pallet,,,1220 Shotwell Street,Houston,TX,77020,"shipper,consignee,chassisTermination,chassisPick"," "," ",,NO," "
ADAMS WAREHOUSE,,,9838 East Fwy,Houston,TX,77029,"consignee,shipper,containerReturn"," "," ",,NO," "
ADVANCED CONTAINER COMPANY,,,1715 Turning Basin Dr,Houston,TX,77029,"chassisTermination,chassisPick,shipper,containerReturn"," "," ",,NO," "
AJ WORLDWIDE,,,901 Penhorn Ave,Secaucus,NJ,07094,ALL," "," ",NO,NO," "
ALDER & TWEED FURNITURE (TX),,,1301 S 16th St,La Porte,TX,77571,"consignee,shipper,containerReturn"," "," ",,NO," "
All Trans Transport,,,8825 Mississippi St,Houston,TX,77029,"shipper,containerReturn,consignee"," "," ",,NO," "
ALLIED FITTING,,,14723 Fairway Pines Dr,Missouri City,TX,77489,"consignee,shipper,containerReturn"," "," ",,NO," "
Allied Steel Buildings,,,1705 Blue Bonnet pkwy McGregor 76657 TX USA,McGregor,TX,76657,"consignee,shipper,containerReturn"," "," ",,NO," "
AM CONSTRUCTION & RECYCLING,,,4411 West Cedar Bayou Lynchburg Road,Baytown,TX,77521,"consignee,shipper,containerReturn"," "," ",,NO," "
AM Premier,,,1485 East Sam Houston Parkway South,Pasadena,TX,77503,"caller,consignee,chassisTermination,chassisPick,shipper,containerReturn"," "," ",NO,NO," "
AMAZON SHV1,,,1625 Corporate Drive,Shreveport,LA,71107,"consignee,shipper,containerReturn"," "," ",,NO," "
American Pipe,,,11403 N Houston Rosslyn rd,Houston,TX,77088,"consignee,shipper,containerReturn"," "," ",,NO," "
American Warehouse,,,1918 Collingsworth St,Houston,TX,77009,shipper," ",30,,NO," "
American Wire Group,,,29921 Medline ln,Katy,TX,77494,"consignee,shipper,containerReturn"," "," ",,NO," "
Amnexs Solutions,,,1815 South Meyers Road,Villa Park,IL,60181,"caller,consignee,chassisTermination,chassisPick,shipper,containerReturn"," "," ",NO,NO," "
AR Unlimited,,,10600 Corporate Drive,Stafford,TX,77477,shipper," "," ",,NO," "
ATKORE INC,,,4949 Joseph Hardin Dr,Dallas,TX,75236,"consignee,shipper,containerReturn"," "," ",,NO," "
Aurora plastics,,,4395 Pasadena Fwy,Pasadena,TX,77503,"consignee,shipper,containerReturn"," "," ",,NO," "
AWI,,,1918 Collingsworth Street,Houston,TX,77009,"consignee,shipper,containerReturn"," "," ",,NO," "
baker hughes,,,9902 sheldon rd 77049,Houston,TX,77049,"consignee,shipper,containerReturn"," "," ",,NO," "
BARBOURS CUT TERMINALS,,Port of Houston - Barbours Cut,1515 E Barbours Cut Blvd,La Porte,TX,77571,"shipper,containerReturn,consignee,chassisTermination,chassisPick"," "," ",,NO," "
Barsan Global Logistics,,,2020 Texas 146,La Porte,TX,77571,"shipper,containerReturn,consignee"," "," ",,NO," "
BASF- CORP,,,602 Copper Road,Freeport,TX,77541,"consignee,shipper,containerReturn"," "," ",,NO," "
BAYPORT TERMINAL,,,12619 Port Rd,Seabrook,TX,77586,"consignee,shipper,containerReturn,chassisTermination,chassisPick"," "," ",,NO," "
BERGER TRANSFER,,,3021 MAGNUM RD,Houston,TX,77092,"consignee,shipper,containerReturn"," "," ",,NO," "
Big Tex Warehouse Houston,,,2928 Greens Road,Houston,TX,77032,"caller,consignee,chassisTermination,chassisPick,shipper,containerReturn"," "," ",NO,NO," "
BLACK RABBIT,,,6023 Navigation Blvd,Houston,TX,77011,shipper," "," ",,NO," "
BNSF,,BNSF - Houston (Pearland),214 Brisbane St,Houston,TX,77061,"shipper,containerReturn,chassisTermination,chassisPick"," "," ",,NO," "
BNSF LOGISTICS,6264953766,CECILIA GONZALEZ,545 Plaza Verde Dr,Houston,TX,77038,"consignee,shipper,containerReturn"," "," ",,NO," "
BNSF RAIL MAIN,,BNSF - Houston (Pearland),214 Brisbane Road,Houston,TX,77061,"shipper,containerReturn"," "," ",,NO," "
BOASSO-HOUSTON TX,,,16230 De Zavalla Road,Channelview,TX,77530,"shipper,containerReturn"," "," ",,NO," "
C&C,,,12560 Port Rd,Seabrook,TX,77586,"consignee,shipper,containerReturn,chassisTermination,chassisPick"," "," ",,NO," "
C&C OATES YARD,,,5422 Oates Rd,Houston,TX,77013,"shipper,containerReturn"," "," ",,NO," "
CARGOMATIC WAREHOUSE,,,6415 Mesa Drive,Houston,TX,77028,"shipper,containerReturn,consignee"," "," ",,NO," "
CARU CONTAINERS LLC,,,"15920 I-10 EAST FREEWAY,",CHANNELVIEW,TEXAS,77530,"shipper,containerReturn,consignee,chassisTermination,chassisPick"," "," ",,NO," "
CBSL TRANSPORTATION SERVICES,,,13434 Bay Park Rd,Pasadena,TX,77507,shipper," "," ",,NO," "
Cedar Inc,,,7834 Minonite Road,Richmond,TX,77469,"caller,consignee,chassisTermination,chassisPick,shipper,containerReturn"," "," ",NO,NO," "
CERES INTERMODAL,,,1550 N J St,La Porte,TX,77571,"shipper,containerReturn,consignee,chassisTermination,chassisPick"," "," ",,NO," "
Chevron Products,,,W 7th,Port Arthur,TX,77640,"consignee,shipper,containerReturn"," "," ",,NO," "
CHICAGO CSX BEDFORD PARK,,,7000 W 71st St,Bedford Park,IL,60638,shipper," "," ",,NO," "
CITY DOCKS,,,"111 E LOOP NORTH,",HOUSTON,TEXAS,77029,"shipper,containerReturn,consignee"," "," ",,NO," "
CLEAN HARBORS,,,802 Seaco Ct,Deer Park,TX,77536,"consignee,shipper,containerReturn"," "," ",,NO," "
CMCA,,,12702 Port Rd,Pasadena,TX,77507,"chassisTermination,chassisPick,consignee,shipper,containerReturn"," "," ",,NO," "
COCANNON LUMBER COMPANY,,,5236 FIDELITY STREET HOUSTON,Houston,TX,77029,"consignee,shipper,containerReturn"," "," ",,NO," "
CONGLOBAL MAYO SHELL,,,500 Mayo Shell Rd,Houston,TX,77015,"shipper,containerReturn,consignee,chassisTermination,chassisPick"," "," ",,NO," "
CORT FURNITURE RENTAL,,,8155 KEMPWOOD DR. HOUSTON,Houston,TX,77055,"consignee,shipper,containerReturn"," "," ",,NO," "
COSTCO KATY,,,31031 US HWY 90 BROOKSHIRE,Brookshire,TX,77423,"consignee,shipper,containerReturn"," "," ",,NO," "
COTAC USA INC.,,,9938 CHEMICAL ROAD. PASADENA,Pasadena,TX,77507,"consignee,shipper,containerReturn"," "," ",,NO," "
CRANE 45,,,13800 North Fwy #100,Houston,TX,77090,"consignee,shipper,containerReturn"," "," ",,NO," "
Crane Cartage LLC,,,1500 Rankin Road,Houston,TX,77073,"caller,consignee,chassisTermination,chassisPick,shipper,containerReturn"," ",30,NO,NO," "
Crane Worldwide,,,13320 John F Kennedy Blvd,Houston,TX,77039,shipper," "," ",,NO," "
CRANE WORLDWIDE LOGISTICS,,,1500 Rankin Rd,Houston,TX,77073,"consignee,shipper,containerReturn"," "," ",,NO," "
CTP Environment Group,,,11755 West Little York Road,Houston,TX,77041,"consignee,shipper,containerReturn"," "," ",,NO," "
Cura Freight LLC,,,2104 West Main Street,Tampa,FL,33607,"caller,consignee,chassisTermination,chassisPick,shipper,containerReturn"," ",30,NO,NO," "
CURTISS WRIGHT,,,"9410 E Hardy Rd #6629,",Houston,TX,77093,"consignee,shipper,containerReturn"," "," ",,NO," "
CUSTOM GOODS,3102416700,,9431 Bay Area Blvd,Pasadena,TX,77507,"consignee,shipper,containerReturn,chassisTermination,chassisPick"," "," ",,NO," "
CZT ENERGY USA,,,5000 I-10,Sealy,TX,77474,"shipper,consignee"," "," ",,NO," "
DAIKIN COMFORT TECHNOLOGIES,,,7310 LANGFIELD RD HTX 77092,Houston,TX,77092,"consignee,shipper,containerReturn"," "," ",,NO," "
DAYCO,,,13320 John F Kennedy Blvd,Houston,TX,77039,"consignee,shipper,containerReturn"," "," ",,NO," "
Derichebourg Recycling USA - Houston 1,,,1 Wharf st,Houston,TX,77012,"consignee,shipper,containerReturn"," "," ",,NO," "
DEUGRO/C.O.L.T WAREHOUSE,,,2828 Farm to Market 1405,Baytown,TX,77523,"consignee,shipper,containerReturn,chassisTermination,chassisPick"," "," ",,NO," "
DHL GLOBAL FORWARDING,,,15894 Diplomatic Plaza Dr,Houston,TX,77032,"caller,consignee,shipper,containerReturn,chassisTermination,chassisPick"," "," ",NO,NO," "
Dhollandia,,,5913 Imperial Loop dr,College Station,TX,77845,"consignee,shipper,containerReturn"," "," ",,NO," "
DILLARDS DEPT STORE,,,4501 North Beach Street,Fort Worth,TX,76137,"consignee,shipper,containerReturn,chassisTermination,chassisPick"," "," ",,NO," "
Dnata,,,19577 Lee Rd,Humble,TX,77338,shipper," "," ",,NO," "
DSI,,,2702 HOLMES RD. HOUSTON,Houston,TX,77051,"consignee,shipper,containerReturn"," "," ",,NO," "
DSI LOGISTICS,,,3100 Pawnee St,Houston,TX,77054,"consignee,shipper,containerReturn"," "," ",,NO," "
DUNAVANT,,,10629 Red Bluff Rd,Pasadena,TX,77507,"consignee,shipper,containerReturn"," "," ",,NO," "
DUNAVANT-LAPORTE,,,501 Independence Parkway,Deer Park,TX,77536,"consignee,chassisTermination,chassisPick,shipper,containerReturn"," "," ",,NO," "
DURAPARTS INC.,,,13320 John F Kennedy Blvd,Houston,TX,77039,"consignee,shipper,containerReturn"," "," ",,NO," "
DW DISTRIBUTION INC,,,1200 E Centre Park Blvd,DeSoto,TX,75115,"shipper,consignee"," "," ",,NO," "
EDP CATTLEMAN,,,8115 FM 2027 MILAM COUNTY ROSEBUD,Rosebud,TX,76570,"consignee,shipper,containerReturn"," "," ",,NO," "
"Electronic Scrap Recycling, Inc",,,6427 Springer Street,Houston,TX,77087,"caller,consignee,chassisTermination,chassisPick,shipper,containerReturn"," "," ",NO,NO," "
ELFS,,,3031 Eastveld Dr,Houston,TX,77073,"consignee,shipper,containerReturn"," "," ",,NO," "
EM,,"Equipment Management Services, LLC - EM",11000 Beaumont Hwy,Houston,TX,77078,"shipper,containerReturn"," "," ",,NO," "
EM,,"Equipment Management Services, LLC - EM",11000 Beaumont Highway,Houston,TX,77213,"shipper,containerReturn"," "," ",,NO," "
EMODAL,,,,Ashburn,VA,20147,"shipper,containerReturn"," "," ",,NO," "
equipment depot,,,5661 Agnes Street,Corpus Christi,TX,78405,shipper," "," ",,NO," "
Equipment Management Services,,,6910 South Lake Houston Parkway,Houston,TX,77049,shipper," "," ",,NO," "
ESMER TILE DISTRIBUTION CENTER,,,10433 Ella Boulevard,Houston,TX,77038,"consignee,shipper,containerReturn,caller"," "," ",NO,NO," "
Fence-line **No Check in needed**,,No check in needed,4906 Borusan Rd,Baytown,TX,77523,"shipper,containerReturn,consignee,caller,chassisTermination,chassisPick"," "," ",NO,NO," "
Feutainer (Victoria),,,14810 US Hwy 77,Victoria,tx,77904,ALL," "," ",NO,NO," "
Feutainer F1,,,"7902 Cowart St,",Houston,TX,77029,shipper," ",30,,NO," "
Feutainer F6,,,3337 Canada Rd,La Porte,TX,77571,"shipper,containerReturn,consignee"," "," ",,NO," "
Feutainer F7,,,1805 Turning Basin Dr,Houston,TX,77029,"shipper,consignee,chassisTermination,chassisPick"," "," ",,NO," "
Feutainer F7 (Talcott),,,14830 Talcott St,Houston,TX,77015,"shipper,containerReturn,consignee"," "," ",,NO," "
FEUTAINER WAREHOUSE,,,7902 Cowart St,Houston,TX,77029,"caller,consignee,shipper,containerReturn,chassisTermination,chassisPick"," "," ",NO,NO," "
FINN CONTAINER CARGO SVCS.,,,6003 Murphy St,Houston,TX,77033,"shipper,containerReturn,consignee"," "," ",,NO," "
FLEXI-VAN LEASING,,,7226 N Loop E Fwy,Houston,TX,77028,"consignee,chassisTermination,chassisPick,shipper,containerReturn"," "," ",,NO," "
FLOOR & DECOR 991 DC,,,5120 Cedar Port Pkwy,Baytown,TX,77523,"consignee,shipper,containerReturn"," "," ",,NO," "
FLOWCHEM LLC,,,20333 Blinka Road,Waller,TX,77484,"consignee,shipper,containerReturn"," "," ",,NO," "
FLUID SEALINGS,,,155 SOUTHBELT INDUSTRIAL DR. HOUSTON,Houston,TX,77047,"consignee,shipper,containerReturn"," "," ",,NO," "
FNS,,,10100 Porter Road,La Porte,TX,77571,"caller,consignee,chassisTermination,chassisPick,shipper,containerReturn"," "," ",NO,NO," "
FOREIGN TRADE,,,1350 LATHROP STREET HOUSTON,Houston,TX,77020,"consignee,shipper,containerReturn"," "," ",,NO," "
Forum Energy Technologies Inc,,,12735 Dairy Ashford rd,Stafford,TX,77477,"consignee,shipper,containerReturn"," "," ",,NO," "
Frontier Logistics La Porte,,,11931 Hwy 225 La Porte 77571 TX US,La Porte,TX,77571,"consignee,shipper,containerReturn"," "," ",,NO," "
FRONTIER LOGISTICS- Pasadena,,,3507 Pasadena Fwy,Pasadena,TX,77503,"consignee,shipper,containerReturn"," "," ",,NO," "
FRONTIER WH La Porte,,,1806 S 16th St,La Porte,TX,77571,"consignee,shipper,containerReturn"," "," ",,NO," "
GARTNER COATINGS,,,2433 Reid Blvd,Pearland,TX,77581,"shipper,consignee,caller"," ",30,NO,NO," "
GATEWAY LOGISTICS--HOUSTON,,,18201 VISCOUNT RD HOUSTON,Houston,TX,77032,"consignee,shipper,containerReturn,caller"," ",30,NO,NO," "
GATEWAY-IGLOO RD,,,3214 Igloo Road,Houston,TX,77032,"consignee,chassisTermination,chassisPick,shipper,containerReturn"," "," ",,NO," "
GCP PAPER USA,,,14720 John F Kennedy Blvd,Houston,TX,77032,"consignee,shipper,containerReturn"," "," ",,NO," "
"GENERAL TECHNOLOGIES, INC",,,13003 Royal Dr,Stafford,TX,77477,"consignee,shipper,containerReturn"," "," ",,NO," "
General Work Products,,,104 Japhet,Houston,TX,77020,"consignee,shipper,containerReturn"," "," ",,NO," "
GIS,,Gulf Intermodal Services - GIS,10043 Wallisville Rd,Houston,TX,77013,"shipper,containerReturn"," "," ",,NO," "
GLOBAL CONTAINER INDUSTRIES,,,7015 FM1942,Baytown,TX,77521,"consignee,shipper,containerReturn,chassisTermination,chassisPick"," "," ",,NO," "
GLOBAL IMPORTS,,,19531 Ramblewood Dr Humble 77338 TX US,Humble,TX,77338,"caller,consignee,shipper,containerReturn"," ",30,NO,NO," "
GLT INTERNATIONAL,,,1000 HAWKINS BLVD. EL PASO TX 79915,El Paso,TX,79915,"consignee,shipper,containerReturn"," ",30,,NO," "
GOODMAN MANUFACTURING INC.,,,22533 NW LAKE DR HOUSTON,Houston,TX,77095,"consignee,shipper,containerReturn"," "," ",,NO," "
GRAND OFFICE FURNITURE PLACE,,,4303 Gessner Rd,Houston,TX,77041,"consignee,shipper,containerReturn"," "," ",,NO," "
GTI,,,13022 TRINITY DRIVE STAFFORD 77477 TX USA,STAFFORD,TX,77477,"consignee,shipper,containerReturn"," "," ",,NO," "
GULF,,Gulf Transport Inc.,8735 N Howton St,Houston,TX,77028,"shipper,containerReturn"," "," ",,NO," "
GULF COAST CRATING (NEXT TO BIG CAT),,,4838 Borusan Rd,Baytown,TX,77523,"consignee,shipper,containerReturn"," "," ",,NO," "
GULF INTERMODAL SERVICES (GIS),,,10043 Wallisville Rd,Houston,TX,77013,"shipper,containerReturn"," "," ",,NO," "
GULF TIRE DISTRIBUTORS,,,7108 Old Katy Rd,Houston,TX,77024,"consignee,shipper,containerReturn"," "," ",,NO," "
HD HYUNDAI GLOBAL SERV,,,16610 Barker Springs Rd,Houston,TX,77084,"consignee,shipper,containerReturn"," "," ",,NO," "
HD HYUNDAI MARINE SOLUTION AMERICA,,,16610 Barker Springs Rd,Houston,TX,77084,"consignee,shipper,containerReturn"," "," ",,NO," "
HEB WAREHOUSE,,,9601 W Wingfoot Rd,Houston,TX,77041,"consignee,shipper,containerReturn,caller"," "," ",NO,NO," "
HITECH POWER PROTECTION INC.,,,25707 Southwest Fwy,Rosenberg,TX,77469,"caller,consignee,shipper,containerReturn"," "," ",NO,NO," "
HOUSTON COMMODITY--CITYLOOP PARK,,,8607 Citypark Loop,Houston,TX,77013,"consignee,shipper,containerReturn"," "," ",,NO," "
HOUSTON COMMODITY--QUITMAN,,,2300 Quitman St,Houston,TX,77026,"consignee,shipper,containerReturn"," "," ",,NO," "
HOUSTON SERVICE CENTER,,,1273 Sheffield Boulevard,Houston,TX,77015,"consignee,chassisTermination,chassisPick,shipper,containerReturn"," "," ",,NO," "
IGLOO PRODUCTS CORP,,,1519 Woods Road,Brookshire,TX,77423,"consignee,shipper,containerReturn,chassisTermination,chassisPick"," "," ",,NO," "
IMC LOGISTICS - HOU,,KATE GILLIS,10043 Wallisville Rd,Houston,TX,77013,"shipper,chassisTermination,chassisPick,consignee"," "," ",,NO," "
IMS  / Cooper Ports of America,,Integrated Marine Services LLC,918 N Broadway St,La Porte,TX,77571,"shipper,containerReturn,consignee,chassisTermination,chassisPick"," "," ",,NO," "
IMS/CPA,,,500 E BARBOURS CUT BLVD.,La Porte,TEXAS,77571,"chassisTermination,chassisPick,shipper,containerReturn"," "," ",,NO," "
Independant Pipe Services,,,9025 Pineland rd,Houston,TX,77044,"consignee,shipper,containerReturn"," "," ",,NO," "
INDUSTRIAL TERMINALS,,,1390 INDUSTRIAL ROAD,Houston,TX,77015,"shipper,containerReturn"," "," ",,NO," "
INTEGRATED INDUSTRIES CORP,,,7226 N Loop E Fwy,Houston,TX,77028,"shipper,containerReturn"," "," ",,NO," "
INTEGRATED INDUSTRIES-OATES RD,,,5430 Oates Road,Houston,TX,77013,"chassisTermination,chassisPick,consignee,shipper,containerReturn"," "," ",,NO," "
Integrated Proteins,,,4001 Oscar Nelson Jr dr building D,Baytown,TX,77523,"consignee,shipper,containerReturn"," "," ",,NO," "
Internal - Aequus,,,1485 East Sam Houston Parkway South,Pasadena,TX,77503,"caller,consignee,chassisTermination,chassisPick,shipper,containerReturn"," "," ",NO,NO," "
Internal - Best Bay,,,1485 East Sam Houston Parkway South,Pasadena,TX,77503,"caller,consignee,chassisTermination,chassisPick,shipper,containerReturn"," "," ",NO,NO," "
Internal - BMI,,,1485 East Sam Houston Parkway South,Pasadena,TX,77503,"caller,consignee,chassisTermination,chassisPick,shipper,containerReturn"," "," ",NO,NO," "
Internal - CBMM,,,4838 Borusan Road,Baytown,TX,77523,"caller,consignee,chassisTermination,chassisPick,shipper,containerReturn"," "," ",NO,NO," "
Internal - CONSOLIDATED GRAIN AND BARGE CO DBA AGFORCE TRANSPORT SERVICES,,,1485 East Sam Houston Parkway South,Pasadena,TX,77503,"caller,consignee,chassisTermination,chassisPick,shipper,containerReturn"," "," ",NO,NO," "
Internal - DGL,,,1485 East Sam Houston Parkway South,Pasadena,TX,77503,"caller,consignee,chassisTermination,chassisPick,shipper,containerReturn"," "," ",NO,NO," "
Internal - Global Gateway Logistics,,,1485 East Sam Houston Parkway South,Pasadena,TX,77503,"caller,consignee,chassisTermination,chassisPick,shipper,containerReturn"," "," ",NO,NO," "
Internal - GlobalTranz,,,1485 East Sam Houston Parkway South,Pasadena,TX,77503,"caller,consignee,chassisTermination,chassisPick,shipper,containerReturn"," "," ",NO,NO," "
Internal - Interfreight,,,1485 East Sam Houston Parkway South,Pasadena,TX,77503,"caller,consignee,chassisTermination,chassisPick,shipper,containerReturn"," "," ",NO,NO," "
Internal - Landstar,,,1485 East Sam Houston Parkway South,Pasadena,TX,77503,"caller,consignee,chassisTermination,chassisPick,shipper,containerReturn"," "," ",NO,NO," "
